design_id,rule_idx,rule_name,rule_group,seed,family_role,run_dir,quality_target_mode,turnout_mean,gini_assets_mean,gini_dissatisfaction_mean,quality_distance_mean,turnout_last_third_mean,turnout_final,turnout_volatility,gini_assets_last_third_mean,gini_assets_final,gini_assets_volatility,collective_assets_mean,collective_assets_last_third_mean,collective_assets_final,gini_dissatisfaction_last_third_mean,gini_dissatisfaction_final,gini_dissatisfaction_volatility,quality_distance_last_third_mean,quality_distance_final,quality_distance_volatility,mean_dissatisfaction_mean,mean_dissatisfaction_final,diversity_entropy_mean,diversity_entropy_final
149,3,borda,canonical,90948,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_borda/seed_90948/run_0,puzzle,57.108,22.24,21.124,0.345,50.595238095238095,53.0,0.059799196787148595,25.916666666666668,40.0,0.01321285140562249,343633630720.10364,1020951308489.1428,10926486978560.0,20.178571428571427,20.0,0.01429718875502008,0.3541666666666667,0.25,0.19377510040160642,0.3256036152839661,0.3116986155509949,0.7229657943248748,0.6619409322738647
149,3,borda,canonical,91449,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_borda/seed_91449/run_0,puzzle,76.324,32.46,22.152,0.343,81.41666666666667,78.0,0.04192771084337349,42.5,44.0,0.0055020080321285135,2775491300820.154,8250899165281.523,29772369362944.0,22.452380952380953,24.0,0.016666666666666666,0.37797619047619047,0.25,0.19176706827309237,0.28337096989154814,0.30017146468162537,0.7056060143709183,0.7519034743309021
149,3,borda,canonical,91734,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_borda/seed_91734/run_0,puzzle,79.764,28.224,24.212,0.3,83.26190476190476,83.0,0.03570281124497992,32.0,32.0,0.0027710843373493976,31839579962655.684,94618283413308.95,833448268791808.0,22.952380952380953,26.0,0.014859437751004017,0.38095238095238093,0.25,0.18775100401606426,0.30978531104326246,0.2803153693675995,0.6716896584033966,0.6863188743591309
149,3,borda,canonical,92005,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_borda/seed_92005/run_0,puzzle,64.12,49.504,23.9,0.286,62.51190476190476,64.0,0.03598393574297189,54.464285714285715,54.0,0.00321285140562249,650273942088416.0,1935144021286522.0,2.673921010696192e+16,23.416666666666668,31.0,0.015983935742971887,0.29464285714285715,0.25,0.19076305220883535,0.2940283670425415,0.2724546492099762,0.7086392307281494,0.6826678514480591
149,3,borda,canonical,92453,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_borda/seed_92453/run_0,puzzle,69.22,36.532,24.436,0.335,70.95238095238095,72.0,0.03895582329317269,43.38095238095238,34.0,0.007028112449799197,2131735940381.2493,6343257668010.667,47254425567232.0,26.297619047619047,19.0,0.013855421686746987,0.35119047619047616,0.5,0.22289156626506024,0.30056998527050016,0.3247990906238556,0.7065972945690155,0.5975967645645142
149,3,borda,canonical,92463,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_borda/seed_92463/run_0,puzzle,76.004,39.16,24.168,0.289,79.9047619047619,80.0,0.03273092369477912,53.80952380952381,55.0,0.005662650602409639,1532619814169357.8,4561338109445656.0,5.199630860445286e+16,27.511904761904763,32.0,0.021686746987951807,0.18154761904761904,0.0,0.20582329317269077,0.27590991199016573,0.2412038892507553,0.7284542087316513,0.7074679732322693
149,3,borda,canonical,92472,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_borda/seed_92472/run_0,puzzle,73.06,34.492,20.216,0.27,75.03571428571429,78.0,0.0421285140562249,41.904761904761905,45.0,0.004738955823293173,366895088398715.0,1091559008548571.4,8801187390291968.0,18.392857142857142,24.0,0.016706827309236946,0.34523809523809523,0.0,0.16265060240963855,0.29762328910827635,0.33843275904655457,0.700978141784668,0.6762264966964722
149,3,borda,canonical,93235,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_borda/seed_93235/run_0,puzzle,62.976,37.464,19.06,0.261,59.083333333333336,53.0,0.054096385542168675,52.583333333333336,56.0,0.009156626506024095,31538751254.79073,93493521523.80952,431391703040.0,18.916666666666668,19.0,0.0121285140562249,0.31547619047619047,0.5,0.20481927710843373,0.35396087992191316,0.3466702401638031,0.6928960424661637,0.603334367275238
149,3,borda,canonical,94073,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_borda/seed_94073/run_0,puzzle,66.896,50.364,24.924,0.27,64.32142857142857,65.0,0.036465863453815264,58.17857142857143,58.0,0.00357429718875502,3338393320208475.0,9935291762206622.0,4.33113049113559e+16,27.404761904761905,19.0,0.015140562248995983,0.34523809523809523,0.75,0.1857429718875502,0.3524626380205154,0.35047486424446106,0.6941859438419342,0.5723729133605957
149,3,borda,canonical,94738,main,data/simulation_output/thesis_final_runs_v1/design_0149/rule_borda/seed_94738/run_0,puzzle,63.224,43.484,22.424,0.33,60.273809523809526,59.0,0.042650602409638555,52.0,52.0,0.003654618473895582,34756968474064.26,103438914837650.28,1264851091456000.0,23.595238095238095,27.0,0.009196787148594378,0.33035714285714285,0.25,0.20983935742971888,0.31429417681694033,0.2953924238681793,0.7138738989830017,0.8215773701667786
