design_id,n_primary_runs,n_primary_pass,pass_rate,quality_mean,quality_std,seed_robustness,weight_quality_effective,weight_seed_robustness_effective,quality_bundle,stage_weight_viability,stage_weight_quality_bundle,score_total
136,50,49,0.98,0.75647545116409,0.03828013618723216,0.9598581958174285,0.7,0.3,0.8174902745600916,0.5,0.5,0.8987451372800458
77,50,49,0.98,0.7367128634288749,0.037067449762150456,0.9990950649502152,0.7,0.3,0.815427523885277,0.5,0.5,0.8977137619426385
49,50,50,1.0,0.7575840388318394,0.04069487685512825,0.8817284653147773,0.7,0.3,0.7948273667767207,0.5,0.5,0.8974136833883604
128,50,50,1.0,0.7572877852453799,0.04082985906858191,0.8773610712918929,0.7,0.3,0.7933097710593338,0.5,0.5,0.8966548855296669
53,50,50,1.0,0.7521110279479407,0.04046929871032268,0.8890271205680152,0.7,0.3,0.793185855733963,0.5,0.5,0.8965929278669815
65,50,49,0.98,0.7356986934379175,0.037241071139021406,0.9934774880547859,0.7,0.3,0.813032331822978,0.5,0.5,0.896516165911489
82,50,50,1.0,0.7513269968912104,0.0404725433747019,0.8889221383821888,0.7,0.3,0.7926055393385039,0.5,0.5,0.8963027696692519
95,50,49,0.98,0.7399058952216852,0.03768864190455412,0.9789961883620931,0.7,0.3,0.8116329831638075,0.5,0.5,0.8958164915819038
79,50,49,0.98,0.7598138836762861,0.039378332844444926,0.9243256808738246,0.7,0.3,0.8091674228355477,0.5,0.5,0.8945837114177738
38,50,50,1.0,0.7542907176805496,0.041330388237746395,0.8611662849881488,0.7,0.3,0.7863533878728293,0.5,0.5,0.8931766939364146
81,50,50,1.0,0.7380659246197077,0.0401645516210827,0.8988873131221632,0.7,0.3,0.7863123411704442,0.5,0.5,0.8931561705852221
153,50,49,0.98,0.7521570799055877,0.039778423655704324,0.9113806107568256,0.7,0.3,0.7999241391609591,0.5,0.5,0.8899620695804795
89,50,50,1.0,0.7540448271806319,0.04217618493844083,0.833800253859488,0.7,0.3,0.7779714551842887,0.5,0.5,0.8889857275921443
67,50,49,0.98,0.7519672690125319,0.04001802206747352,0.9036283251431905,0.7,0.3,0.7974655858517294,0.5,0.5,0.8887327929258647
87,50,50,1.0,0.7464144154131787,0.04192829710908633,0.8418207463122982,0.7,0.3,0.7750363146829145,0.5,0.5,0.8875181573414572
